"","uid","period"
"1108",10842,99
"1109",11439,71
"1110",11888,77
"1111",10412,0
"1112",11313,98
"1113",10428,316
"1114",11834,0
"1115",11820,0
"1116",1355,35
"1117",11448,13
"1118",9880,112
"1119",11751,72
"1120",11731,0
"1121",11737,0
"1122",10918,224
"1123",10415,0
"1124",2663,418
"1125",11273,59
"1126",10409,91
"1127",11599,0
"1128",11262,484
"1129",11261,1
"1130",11266,486
"1131",11190,355
"1132",11297,0
"1133",10413,0
"1134",11263,79
"1135",10417,84
"1136",10421,397
"1137",11394,0
"1138",11648,246
"1139",9901,0
"1140",10781,0
"1141",11638,274
"1142",11375,0
"1143",11722,0
"1144",10304,155
"1145",11024,0
"1146",4156,0
"1147",11373,0
"1148",8923,0
"1149",7890,154
"1150",10453,147
"1151",10997,0
"1152",10454,0
"1153",10984,112
"1154",10434,0
"1155",4368,0
"1156",9878,0
"1157",7445,189
"1158",9649,0
"1159",7476,0
"1160",10060,0
"1161",10061,0
"1162",7180,0
"1163",7700,174
"1164",9786,0
"1165",10860,139
"1166",9505,114
"1167",400,0
"1168",9750,540
"1169",9877,186
"1170",10933,0
"1171",7506,0
"1172",10932,0
"1173",10923,0
"1174",3564,0
"1175",9324,0
"1176",8796,188
"1177",11039,0
"1178",3537,0
"1179",10234,0
"1180",11047,384
"1181",9893,0
"1182",8865,0
"1183",3523,0
"1184",9887,0
"1185",10782,0
"1186",11113,0
"1187",10903,0
"1188",10893,0
"1189",8040,0
"1190",5695,0
"1191",7441,0
"1192",2761,0
"1193",10888,175
"1194",10823,0
"1195",8146,0
"1196",10222,16
"1197",3659,365
"1198",10809,0
"1199",10695,0
"1200",10911,36
"1201",7173,0
"1202",7175,0
"1203",8742,0
"1204",8297,0
"1205",10019,0
"1206",9995,0
"1207",10640,0
"1208",10036,49
"1209",10354,3
"1210",10362,0
"1211",10355,0
"1212",9832,0
"1213",9853,0
"1214",10223,0
"1215",10380,0
"1216",5930,175
"1217",8498,161
"1218",6823,0
"1219",10170,0
"1220",10180,0
"1221",3196,613
"1222",10165,0
"1223",10172,0
"1224",9830,0
"1225",9577,0
"1226",9584,0
"1227",7926,360
"1228",8703,0
"1229",8710,0
"1230",9325,0
"1231",7543,28
"1232",9517,0
"1233",9567,0
"1234",8689,0
"1235",4474,0
"1236",9320,0
"1237",9904,0
"1238",9848,0
"1239",9866,0
"1240",9868,0
"1241",9855,0
"1242",9861,0
"1243",8997,0
"1244",7842,0
"1245",8989,0
"1246",8991,0
"1247",9856,0
"1248",9860,0
"1249",7941,0
"1250",9274,0
"1251",9280,0
"1252",9703,0
"1253",9740,0
"1254",2088,0
"1255",4697,0
"1256",7795,0
"1257",9826,0
"1258",9193,0
"1259",6413,0
"1260",8759,0
"1261",7940,0
"1262",8987,0
"1263",5789,0
"1264",7417,0
"1265",8709,0
"1266",2736,0
"1267",9206,0
"1268",8731,0
"1269",7851,0
"1270",8137,0
"1271",8934,0
"1272",8179,0
"1273",5061,0
"1274",11267,0
"1275",10416,317
"1276",14879,0
"1277",15309,128
"1278",15423,63
"1279",14447,147
"1280",12978,407
"1281",15470,0
"1282",14097,126
"1283",15351,0
"1284",15463,384
"1285",3466,575
"1286",14895,462
"1287",11079,175
"1288",14076,346
"1289",14951,301
"1290",11428,218
"1291",14970,246
"1292",14131,34
"1293",15442,161
"1294",14859,125
"1295",15283,0
"1296",15287,0
"1297",15277,0
"1298",15429,0
"1299",14497,66
"1300",9959,98
"1301",15307,0
"1302",15030,0
"1303",15504,0
"1304",15027,0
"1305",14857,168
"1306",7928,95
"1307",14851,35
"1308",13475,241
"1309",12960,260
"1310",14548,351
"1311",14052,0
"1312",11780,112
"1313",7706,0
"1314",15068,121
"1315",11342,140
"1316",12327,566
"1317",12694,517
"1318",14460,36
"1319",14999,28
"1320",11387,82
"1321",14766,0
"1322",15374,227
"1323",15387,0
"1324",14747,336
"1325",14326,0
"1326",14778,112
"1327",12807,432
"1328",14750,111
"1329",14656,0
"1330",14420,91
"1331",15385,209
"1332",15086,112
"1333",12118,316
"1334",12120,105
"1335",15371,0
"1336",15131,168
"1337",10346,0
"1338",12809,322
"1339",15088,23
"1340",14655,0
"1341",13453,287
"1342",12989,105
"1343",14776,0
"1344",14761,0
"1345",12427,70
"1346",15365,0
"1347",14943,279
"1348",15386,0
"1349",15367,211
"1350",14210,0
"1351",14214,274
"1352",14219,0
"1353",15087,171
"1354",12078,147
"1355",12318,0
"1356",14454,0
"1357",15085,0
"1358",14771,0
"1359",14723,0
"1360",14977,0
"1361",15108,182
"1362",14965,148
"1363",12878,520
"1364",12800,93
"1365",14972,422
"1366",14629,139
"1367",14767,0
"1368",15146,0
"1369",14753,336
"1370",14782,119
"1371",15377,217
"1372",13952,0
"1373",13947,21
"1374",12896,91
"1375",10467,31
"1376",9898,121
"1377",15399,0
"1378",15218,0
"1379",13116,0
"1380",14458,0
"1381",14810,300
"1382",14059,11
"1383",13433,0
"1384",14490,0
"1385",14758,0
"1386",15344,335
"1387",12409,63
"1388",13727,0
"1389",14781,288
"1390",15089,350
"1391",15056,0
"1392",14746,0
"1393",15077,302
"1394",14755,0
"1395",14790,0
"1396",12874,321
"1397",14770,0
"1398",12806,71
"1399",12811,0
"1400",12888,315
"1401",12866,421
"1402",14700,0
"1403",14754,125
"1404",14759,125
"1405",12876,441
"1406",14912,308
"1407",14515,0
"1408",14450,27
"1409",12898,345
"1410",14805,0
"1411",13733,0
"1412",13427,0
"1413",15193,189
"1414",14544,0
"1415",8524,445
"1416",14440,0
"1417",14058,0
"1418",11219,91
"1419",15188,0
"1420",11721,114
"1421",14867,0
"1422",14865,0
"1423",14849,0
"1424",14913,2
"1425",13744,0
"1426",12993,78
"1427",13618,316
"1428",14298,1
"1429",13979,0
"1430",14717,280
"1431",13971,0
"1432",13999,118
"1433",14702,0
"1434",12696,0
"1435",14359,420
"1436",14763,358
"1437",12865,106
"1438",13944,0
"1439",14203,0
"1440",13903,0
"1441",13329,0
"1442",14930,0
"1443",14703,0
"1444",14839,0
"1445",14049,8
"1446",14197,160
"1447",12468,96
"1448",14064,0
"1449",14421,0
"1450",14436,0
"1451",10904,0
"1452",11335,63
"1453",12425,49
"1454",12074,214
"1455",13841,239
"1456",13757,29
"1457",14200,0
"1458",14552,0
"1459",47,257
"1460",11211,28
"1461",14663,22
"1462",12315,153
"1463",12317,105
"1464",12758,63
"1465",14442,0
"1466",14514,0
"1467",12321,307
"1468",12320,310
"1469",13806,596
"1470",14034,0
"1471",8722,43
"1472",14445,0
"1473",14452,0
"1474",13657,0
"1475",13654,350
"1476",14056,12
"1477",10464,0
"1478",12431,434
"1479",11099,0
"1480",11100,189
"1481",13418,154
"1482",11684,175
"1483",13494,0
"1484",13415,0
"1485",11082,154
"1486",14553,119
"1487",13414,361
"1488",13884,385
"1489",10730,0
"1490",13638,665
"1491",14263,2
"1492",13673,2
"1493",14119,0
"1494",13052,267
"1495",13736,596
"1496",13867,1
"1497",13603,1
"1498",14046,0
"1499",14206,0
"1500",14029,0
"1501",14150,0
"1502",14082,224
"1503",14257,385
"1504",14153,0
"1505",14009,0
"1506",14258,0
"1507",13882,596
"1508",13791,0
"1509",14160,0
"1510",14116,385
"1511",13604,385
"1512",14152,0
"1513",14117,0
"1514",14026,0
"1515",14205,0
"1516",14151,0
"1517",13963,0
"1518",13664,0
"1519",14002,0
"1520",14000,0
"1521",13606,0
"1522",14185,0
"1523",14017,0
"1524",13722,596
"1525",14176,0
"1526",13866,0
"1527",14168,0
"1528",13984,0
"1529",14413,0
"1530",14120,0
"1531",14011,0
"1532",14242,385
"1533",14037,0
"1534",14156,0
"1535",14380,224
"1536",13868,0
"1537",14161,0
"1538",13607,0
"1539",13985,385
"1540",14180,0
"1541",14018,0
"1542",13831,0
"1543",14241,294
"1544",14177,0
"1545",14016,0
"1546",13825,394
"1547",12608,660
"1548",14015,0
"1549",14178,578
"1550",13981,0
"1551",14174,0
"1552",13986,0
"1553",14157,596
"1554",14114,0
"1555",13880,0
"1556",14019,0
"1557",14158,0
"1558",13865,0
"1559",14149,0
"1560",14038,0
"1561",14148,0
"1562",14785,422
"1563",13714,0
"1564",13779,0
"1565",14518,193
"1566",14525,0
"1567",13793,0
"1568",13927,134
"1569",13912,0
"1570",13899,0
"1571",13781,0
"1572",13763,0
"1573",13780,0
"1574",11058,0
"1575",12514,41
"1576",12466,0
"1577",13341,399
"1578",10253,0
"1579",12040,0
"1580",11708,0
"1581",10763,0
"1582",13181,0
"1583",10732,590
"1584",12923,0
"1585",13409,0
"1586",15169,0
"1587",14620,0
