uid,name,Staff,HWP,Location,HWP,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share
6575,wmunro94,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,31-Dec-69,31-Dec-69,23-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6576,elisa.giarrizzo,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,23-Jun-14,23-Jun-14,23-Jun-14,0,0.00,0,0,0,0,0,0,0,1,0,0
6577,ramandeep_22,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,31-Dec-69,31-Dec-69,23-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6580,manisha.nh25,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,23-Jun-14,23-Jun-14,23-Jun-14,0,0.00,0,0,0,0,0,0,0,1,0,0
6582,aos87,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,31-Dec-69,31-Dec-69,23-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6583,nicola.j.gazeley,0,1,London,1,NA,NA,NA,NA,2,2,2,2,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,23-Jun-14,23-Jun-14,23-Jun-14,0,0.00,0,0,0,0,0,0,0,1,0,0
6585,Evergreen,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jun-14,31-Dec-69,31-Dec-69,23-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6590,1196179646,0,1,Shanghai,1,17.27272727,0,1,0,3,3,3,3,0,1,1,5,1,1,0,,NA,NA,NA,NA,24-Jun-14,24-Jun-14,31-Dec-69,24-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6601,Hfww_2,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,24-Jun-14,24-Jun-14,24-Jun-14,24-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6622,kprsan1,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,26-Jun-14,31-Dec-69,31-Dec-69,26-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6632,Baskaran,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,27-Jun-14,31-Dec-69,31-Dec-69,27-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6637,aaron magdaleno jara,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,30-Jun-14,31-Dec-69,31-Dec-69,30-Jun-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6638,Participant1,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,01-Jul-14,01-Jul-14,01-Jul-14,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6641,juan.verdi,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6642,mauricio.torresv,0,1,Mexico City,1,19.5,0,1,0,4,3,4,5,0,1,0,4,1,1,1,,NA,NA,NA,NA,01-Jul-14,31-Dec-69,31-Dec-69,01-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
