uid,Sample,Year,Count
835,24/09/2013,2013,1
835,24/09/2013,2013,1
835,24/09/2013,2013,1
835,24/09/2013,2013,1
835,24/09/2013,2013,1
835,24/09/2013,2013,1
835,24/09/2013,2013,1
840,22/09/2013,2013,1
840,22/09/2013,2013,1
2115,22/09/2013,2013,1
1667,22/09/2013,2013,1
1667,22/09/2013,2013,1
2102,21/09/2013,2013,1
711,21/09/2013,2013,1
711,21/09/2013,2013,1
711,21/09/2013,2013,1
2456,20/09/2013,2013,1
2456,20/09/2013,2013,1
1994,19/09/2013,2013,1
1994,19/09/2013,2013,1
1994,19/09/2013,2013,1
1690,19/09/2013,2013,1
1994,19/09/2013,2013,1
1994,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
333,19/09/2013,2013,1
2705,19/09/2013,2013,1
2705,19/09/2013,2013,1
1994,18/09/2013,2013,1
1994,18/09/2013,2013,1
1994,18/09/2013,2013,1
1994,18/09/2013,2013,1
1994,18/09/2013,2013,1
2329,18/09/2013,2013,1
1994,18/09/2013,2013,1
2329,18/09/2013,2013,1
2329,18/09/2013,2013,1
839,17/09/2013,2013,1
913,17/09/2013,2013,1
789,16/09/2013,2013,1
839,16/09/2013,2013,1
898,15/09/2013,2013,1
2115,15/09/2013,2013,1
2115,15/09/2013,2013,1
2107,15/09/2013,2013,1
2115,15/09/2013,2013,1
2115,15/09/2013,2013,1
1701,15/09/2013,2013,1
2701,14/09/2013,2013,1
313,14/09/2013,2013,1
2115,14/09/2013,2013,1
1435,14/09/2013,2013,1
1435,14/09/2013,2013,1
1435,14/09/2013,2013,1
1435,14/09/2013,2013,1
1435,14/09/2013,2013,1
315,14/09/2013,2013,1
1429,14/09/2013,2013,1
1429,14/09/2013,2013,1
1429,14/09/2013,2013,1
2115,13/09/2013,2013,1
839,12/09/2013,2013,1
839,12/09/2013,2013,1
839,12/09/2013,2013,1
839,12/09/2013,2013,1
839,11/09/2013,2013,1
839,11/09/2013,2013,1
264,10/09/2013,2013,1
264,10/09/2013,2013,1
264,10/09/2013,2013,1
333,10/09/2013,2013,1
333,10/09/2013,2013,1
333,10/09/2013,2013,1
264,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
333,09/09/2013,2013,1
1992,09/09/2013,2013,1
1992,09/09/2013,2013,1
1992,09/09/2013,2013,1
1992,09/09/2013,2013,1
1992,09/09/2013,2013,1
2115,08/09/2013,2013,1
2115,08/09/2013,2013,1
1945,08/09/2013,2013,1
1260,08/09/2013,2013,1
1260,08/09/2013,2013,1
362,08/09/2013,2013,1
362,08/09/2013,2013,1
362,08/09/2013,2013,1
703,08/09/2013,2013,1
703,08/09/2013,2013,1
703,08/09/2013,2013,1
740,07/09/2013,2013,1
740,07/09/2013,2013,1
338,07/09/2013,2013,1
381,07/09/2013,2013,1
959,07/09/2013,2013,1
959,07/09/2013,2013,1
1611,07/09/2013,2013,1
959,07/09/2013,2013,1
1277,07/09/2013,2013,1
1611,07/09/2013,2013,1
295,07/09/2013,2013,1
1611,07/09/2013,2013,1
617,07/09/2013,2013,1
621,07/09/2013,2013,1
348,07/09/2013,2013,1
636,07/09/2013,2013,1
337,07/09/2013,2013,1
628,07/09/2013,2013,1
1437,07/09/2013,2013,1
524,06/09/2013,2013,1
524,06/09/2013,2013,1
795,05/09/2013,2013,1
842,05/09/2013,2013,1
842,05/09/2013,2013,1
2115,01/09/2013,2013,1
1435,01/09/2013,2013,1
1435,01/09/2013,2013,1
1435,01/09/2013,2013,1
1901,01/09/2013,2013,1
689,01/09/2013,2013,1
689,01/09/2013,2013,1
689,01/09/2013,2013,1
2115,31/08/2013,2013,1
2115,31/08/2013,2013,1
2115,31/08/2013,2013,1
2115,31/08/2013,2013,1
260,31/08/2013,2013,1
260,31/08/2013,2013,1
830,30/08/2013,2013,1
2115,30/08/2013,2013,1
903,28/08/2013,2013,1
1701,28/08/2013,2013,1
1701,28/08/2013,2013,1
2016,28/08/2013,2013,1
546,28/08/2013,2013,1
416,28/08/2013,2013,1
611,28/08/2013,2013,1
611,28/08/2013,2013,1
611,28/08/2013,2013,1
611,28/08/2013,2013,1
611,28/08/2013,2013,1
611,28/08/2013,2013,1
324,27/08/2013,2013,1
1901,27/08/2013,2013,1
1906,27/08/2013,2013,1
611,27/08/2013,2013,1
1906,27/08/2013,2013,1
1901,27/08/2013,2013,1
1906,27/08/2013,2013,1
1901,27/08/2013,2013,1
524,25/08/2013,2013,1
524,25/08/2013,2013,1
2115,25/08/2013,2013,1
2115,25/08/2013,2013,1
795,25/08/2013,2013,1
1260,25/08/2013,2013,1
686,25/08/2013,2013,1
686,25/08/2013,2013,1
686,25/08/2013,2013,1
2456,24/08/2013,2013,1
375,22/08/2013,2013,1
1701,21/08/2013,2013,1
1713,18/08/2013,2013,1
695,18/08/2013,2013,1
695,18/08/2013,2013,1
681,18/08/2013,2013,1
681,18/08/2013,2013,1
695,18/08/2013,2013,1
2456,16/08/2013,2013,1
911,12/08/2013,2013,1
931,11/08/2013,2013,1
310,11/08/2013,2013,1
310,11/08/2013,2013,1
688,11/08/2013,2013,1
688,11/08/2013,2013,1
688,11/08/2013,2013,1
310,11/08/2013,2013,1
1341,10/08/2013,2013,1
959,10/08/2013,2013,1
1611,10/08/2013,2013,1
959,10/08/2013,2013,1
1272,10/08/2013,2013,1
1341,10/08/2013,2013,1
1611,10/08/2013,2013,1
959,10/08/2013,2013,1
1429,10/08/2013,2013,1
1341,10/08/2013,2013,1
1611,10/08/2013,2013,1
1429,10/08/2013,2013,1
1272,10/08/2013,2013,1
1429,10/08/2013,2013,1
1272,10/08/2013,2013,1
910,08/08/2013,2013,1
839,07/08/2013,2013,1
839,06/08/2013,2013,1
839,06/08/2013,2013,1
839,06/08/2013,2013,1
839,06/08/2013,2013,1
839,06/08/2013,2013,1
839,06/08/2013,2013,1
333,06/08/2013,2013,1
333,06/08/2013,2013,1
333,06/08/2013,2013,1
912,06/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
333,05/08/2013,2013,1
563,04/08/2013,2013,1
617,03/08/2013,2013,1
628,03/08/2013,2013,1
381,03/08/2013,2013,1
337,03/08/2013,2013,1
2115,02/08/2013,2013,1
692,31/07/2013,2013,1
864,30/07/2013,2013,1
563,29/07/2013,2013,1
864,29/07/2013,2013,1
563,28/07/2013,2013,1
563,28/07/2013,2013,1
563,28/07/2013,2013,1
914,28/07/2013,2013,1
808,28/07/2013,2013,1
563,28/07/2013,2013,1
563,28/07/2013,2013,1
563,28/07/2013,2013,1
890,28/07/2013,2013,1
1272,28/07/2013,2013,1
1272,28/07/2013,2013,1
1272,28/07/2013,2013,1
1275,28/07/2013,2013,1
903,27/07/2013,2013,1
563,27/07/2013,2013,1
563,27/07/2013,2013,1
563,27/07/2013,2013,1
563,27/07/2013,2013,1
1378,27/07/2013,2013,1
563,27/07/2013,2013,1
563,27/07/2013,2013,1
563,27/07/2013,2013,1
779,27/07/2013,2013,1
563,26/07/2013,2013,1
333,26/07/2013,2013,1
333,26/07/2013,2013,1
333,26/07/2013,2013,1
333,26/07/2013,2013,1
1579,26/07/2013,2013,1
333,26/07/2013,2013,1
333,26/07/2013,2013,1
333,26/07/2013,2013,1
333,26/07/2013,2013,1
907,25/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
1945,23/07/2013,2013,1
839,22/07/2013,2013,1
839,21/07/2013,2013,1
839,21/07/2013,2013,1
795,21/07/2013,2013,1
839,21/07/2013,2013,1
563,21/07/2013,2013,1
774,21/07/2013,2013,1
563,21/07/2013,2013,1
563,21/07/2013,2013,1
563,21/07/2013,2013,1
563,21/07/2013,2013,1
563,21/07/2013,2013,1
869,21/07/2013,2013,1
695,21/07/2013,2013,1
688,21/07/2013,2013,1
695,21/07/2013,2013,1
695,21/07/2013,2013,1
688,21/07/2013,2013,1
688,21/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
563,20/07/2013,2013,1
869,20/07/2013,2013,1
563,17/07/2013,2013,1
1994,15/07/2013,2013,1
1994,15/07/2013,2013,1
1994,15/07/2013,2013,1
1994,15/07/2013,2013,1
1994,15/07/2013,2013,1
874,14/07/2013,2013,1
563,14/07/2013,2013,1
563,14/07/2013,2013,1
563,14/07/2013,2013,1
1429,14/07/2013,2013,1
289,14/07/2013,2013,1
289,14/07/2013,2013,1
959,14/07/2013,2013,1
1333,14/07/2013,2013,1
1429,14/07/2013,2013,1
959,14/07/2013,2013,1
959,14/07/2013,2013,1
1429,14/07/2013,2013,1
289,14/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
874,13/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
563,13/07/2013,2013,1
262,13/07/2013,2013,1
839,12/07/2013,2013,1
789,12/07/2013,2013,1
1994,11/07/2013,2013,1
1994,11/07/2013,2013,1
1994,11/07/2013,2013,1
1994,11/07/2013,2013,1
1994,11/07/2013,2013,1
1994,11/07/2013,2013,1
180,11/07/2013,2013,1
628,06/07/2013,2013,1
621,06/07/2013,2013,1
381,06/07/2013,2013,1
378,05/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
333,04/07/2013,2013,1
1392,01/07/2013,2013,1
284,01/07/2013,2013,1
260,29/06/2013,2013,1
260,29/06/2013,2013,1
260,29/06/2013,2013,1
911,28/06/2013,2013,1
1381,26/06/2013,2013,1
318,22/06/2013,2013,1
318,22/06/2013,2013,1
318,22/06/2013,2013,1
318,22/06/2013,2013,1
318,22/06/2013,2013,1
795,21/06/2013,2013,1
1357,20/06/2013,2013,1
1357,20/06/2013,2013,1
1357,19/06/2013,2013,1
845,17/06/2013,2013,1
845,17/06/2013,2013,1
845,17/06/2013,2013,1
845,17/06/2013,2013,1
942,16/06/2013,2013,1
839,16/06/2013,2013,1
1713,15/06/2013,2013,1
999,15/06/2013,2013,1
617,15/06/2013,2013,1
621,15/06/2013,2013,1
628,15/06/2013,2013,1
381,15/06/2013,2013,1
337,15/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
333,14/06/2013,2013,1
839,13/06/2013,2013,1
839,12/06/2013,2013,1
839,12/06/2013,2013,1
903,09/06/2013,2013,1
795,09/06/2013,2013,1
318,09/06/2013,2013,1
830,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,09/06/2013,2013,1
318,08/06/2013,2013,1
318,08/06/2013,2013,1
318,08/06/2013,2013,1
289,08/06/2013,2013,1
289,08/06/2013,2013,1
318,08/06/2013,2013,1
318,08/06/2013,2013,1
318,08/06/2013,2013,1
289,08/06/2013,2013,1
318,08/06/2013,2013,1
333,06/06/2013,2013,1
333,06/06/2013,2013,1
